Sourcefile	20230508 152842 Faraday Airdemo Scan Analog.qmp
Exporttime	08.05.2023 15:44:11

Start Time	08.05.2023 15:38:14
End Time	08.05.2023 15:42:32


Task Name	Scan
First Mass	0,00
Scan Width	50,00

Start Time	08.05.2023 15:38:14

Mass [amu]	Ion Current [A]
25,41	-1,340378e-014
25,44	-8,812561e-015
25,47	-6,550943e-015
25,50	-8,355670e-015
25,53	-1,069022e-014
25,56	-9,770205e-015
25,59	-6,175753e-015
25,63	-3,923713e-015
25,66	-5,847385e-015
25,69	-1,043973e-014
25,72	-1,328644e-014
25,75	-1,132666e-014
25,78	-5,533200e-015
25,81	2,712306e-017
25,84	1,513319e-015
25,88	-1,126514e-015
25,91	-3,890643e-015
25,94	-3,640872e-015
25,97	-2,500166e-015
26,00	-4,870509e-015
26,03	-1,084564e-014
26,06	-1,599040e-014
26,09	-1,702759e-014
26,13	-1,416821e-014
26,16	-9,488990e-015
26,19	-5,767888e-015
26,22	-4,681604e-015
26,25	-5,665418e-015
26,28	-7,538559e-015
26,31	-9,151461e-015
26,34	-9,062730e-015
26,38	-6,989366e-015
26,41	-4,658255e-015
26,44	-4,172417e-015
26,47	-5,908611e-015
26,50	-8,612317e-015
26,53	-1,102724e-014
26,56	-1,198714e-014
26,59	-1,046519e-014
26,63	-7,324672e-015
26,66	-4,815916e-015
26,69	-3,601343e-015
26,72	-2,618580e-015
26,75	-1,166277e-015
26,78	1,089682e-015
26,81	3,790057e-015
26,84	4,793743e-015
26,88	2,722293e-015
26,91	-9,764439e-016
26,94	-4,293219e-015
26,97	-5,874148e-015
27,00	-4,679394e-015
27,03	-1,346452e-015
27,06	1,675067e-015
27,09	2,716796e-015
27,13	2,176101e-015
27,16	9,969247e-016
27,19	-6,897209e-016
27,22	-2,338207e-015
27,25	-1,860354e-015
27,28	1,724812e-015
27,31	6,121264e-015
27,34	8,176571e-015
27,38	6,240154e-015
27,41	6,262394e-016
27,44	-6,099843e-015
27,47	-1,037354e-014
27,50	-9,266943e-015
27,53	-1,149014e-015
27,56	1,378909e-014
27,59	3,470406e-014
27,63	6,168437e-014
27,66	9,360303e-014
27,69	1,254828e-013
27,72	1,513917e-013
27,75	1,696798e-013
27,78	1,831367e-013
27,81	1,937928e-013
27,84	1,997683e-013
27,88	1,989319e-013
27,91	1,938528e-013
27,94	1,902346e-013
27,97	1,911864e-013
28,00	1,952312e-013
28,03	1,987514e-013
28,06	1,990619e-013
28,09	1,961259e-013
28,13	1,913461e-013
28,16	1,848970e-013
28,19	1,754504e-013
28,22	1,622291e-013
28,25	1,465737e-013
28,28	1,316721e-013
28,31	1,206630e-013
28,34	1,136396e-013
28,38	1,064953e-013
28,41	9,497866e-014
28,44	7,937035e-014
28,47	6,261627e-014
28,50	4,627945e-014
28,53	3,101532e-014
28,56	1,783392e-014
28,59	7,567899e-015
28,63	9,001164e-016
28,66	-1,877520e-015
28,69	-1,472263e-015
28,72	7,459850e-016
28,75	2,915487e-015
28,78	3,232678e-015
28,81	1,315650e-015
28,84	-2,172309e-015
28,88	-6,313576e-015
28,91	-9,395826e-015
28,94	-1,027627e-014
28,97	-1,029156e-014
29,00	-1,116190e-014
29,03	-1,214582e-014
29,06	-1,158532e-014
29,09	-9,889054e-015
29,13	-8,680008e-015
29,16	-8,128914e-015
29,19	-7,042139e-015
29,22	-4,377015e-015
29,25	3,063136e-016
29,28	5,898653e-015
29,31	9,675082e-015
29,34	1,017794e-014
29,38	8,337405e-015
29,41	5,443329e-015
29,44	2,300876e-015
29,47	-7,604590e-016
29,50	-4,380190e-015
29,53	-8,843854e-015
29,56	-1,229713e-014
29,59	-1,265490e-014
29,63	-1,058792e-014
29,66	-8,119966e-015
29,69	-5,488867e-015
29,72	-1,824881e-015
29,75	2,741034e-015
29,78	7,262294e-015
29,81	1,041639e-014
29,84	1,102121e-014
29,88	9,400800e-015
29,91	6,723165e-015
29,94	3,432343e-015
29,97	1,742618e-016
30,00	-1,333908e-015
30,03	-7,021942e-016
30,06	-5,435203e-016
30,09	-2,939235e-015
30,13	-6,446628e-015
30,16	-9,045933e-015
30,19	-1,090301e-014
30,22	-1,290627e-014
30,25	-1,522570e-014
30,28	-1,715045e-014
30,31	-1,690864e-014
30,34	-1,297035e-014
30,38	-6,382907e-015
30,41	-6,729243e-016
30,44	1,067451e-015
30,47	-1,553710e-015
30,50	-6,186607e-015
30,53	-9,612235e-015
30,56	-1,100479e-014
30,59	-1,220389e-014
30,63	-1,397331e-014
30,66	-1,526658e-014
30,69	-1,604548e-014
30,72	-1,682437e-014
30,75	-1,646443e-014
30,78	-1,402183e-014
30,81	-1,090788e-014
30,84	-8,440527e-015
30,88	-5,934512e-015
30,91	-3,114884e-015
30,94	-1,314061e-015
30,97	-1,066799e-015
31,00	-1,233518e-015
31,03	-6,291746e-016
31,06	1,111614e-015
31,09	3,017091e-015
31,13	3,055763e-015
31,16	6,662590e-016
31,19	-2,330506e-015
31,22	-4,175023e-015
31,25	-4,450318e-015
31,28	-3,661647e-015
31,31	-3,114987e-015
31,34	-3,599448e-015
31,38	-4,533330e-015
31,41	-5,420516e-015
31,44	-5,942334e-015
31,47	-4,969494e-015
31,50	-1,628635e-015
31,53	3,727271e-015
31,56	9,679761e-015
31,59	1,398044e-014
31,63	1,556281e-014
31,66	1,653437e-014
31,69	2,019962e-014
31,72	2,766200e-014
31,75	3,689035e-014
31,78	4,409939e-014
31,81	4,653839e-014
31,84	4,449399e-014
31,88	4,003733e-014
31,91	3,495090e-014
31,94	3,118319e-014
31,97	3,127683e-014
32,00	3,593450e-014
32,03	4,170164e-014
32,06	4,329489e-014
